cleaned_text,label_numeric,label,dominant_topic
"Republicans Were Just Told To Stop Talking About Healthcare Repeal Because It’s Political Suicide Remember when Republicans were told to stop talking about rape because they were repeatedly sticking their foot in their mouths? Well, now they are being told to stop talking about their attempt to repeal the Affordable Care Act.Ever since Republicans giddily started preparing to repeal the landmark healthcare law, they faced a sea of angry constituents at town hall events across the country. As the GOP dug in their heels to strip healthcare from millions of Americans, their own voting base began to realize that their own healthcare was threatened as well and that the law they referred to as Obamacare wasn t so bad after all.In fact, many realize that the law saved their lives and they don t want Republicans to repeal it and put their lives back in jeopardy.But Republicans shoved their bill through the House without even reading it and getting the CBO to score it. The bill lets states opt out of requiring insurance companies to cover people with pre-existing conditions, which have now been defined as including sexual assault, pregnancy, cancer, acne, asthma, diabetes, sleep apnea, Alzheimer s disease, and a whole host of other conditions and medical problems, a list of which you can find here.This pretty much would allow insurance companies to discriminate against millions of Americans, conservatives included.The bill also slashed $880 billion from Medicaid, which covers millions of low-income Americans, in order to fund a tax gift for the wealthy. Again, millions of Americans, including conservatives in red states, got healthcare because the Affordable Care Act expanded Medicaid.Understandably, most Americans are pissed at Republicans, especially after House Republicans celebrated taking healthcare from people by throwing a beer party on Capitol Hill and smiling and laughing about it at the White House Rose Garden while Donald Trump spiked the football.And Americans have been flocking to town halls ever since to shame Republicans for their actions. Many Republicans have even been too cowardly to even attend their own town halls to face the music.Those who have shown up have only angered their constituents even more by lying about what s in the bill and making any lame excuse they can think of to justify stripping healthcare from millions.That s why a conservative consulting firm in now telling Republicans to stop talking about repealing the Affordable Care Act.According to Raw Story,In a memo issued this week by conservative firm WPA Intelligence, lawmakers were cautioned to avoid using the term full repeal because it is highly unpopular.So, it appears that Republicans may now go to their constituents and claim that their bill is only a partial repeal even though it is, in fact, a full repeal.Make no mistake, this consulting firm knows that Republicans are committing political suicide. That s why they warned them to stop talking so much about the healthcare repeal.But the damage has already been done and will get even worse if Republicans send the bill to Trump for his signature.The American people, including conservative voters, now know that Republicans were full of shit when they insisted that a full repeal was the only way to fix the Affordable Care Act. The fact is that these problems can be easily fixed if Republicans are willing to work with Democrats. Instead of admitting they were wrong, Republicans doubled down and now they get to experience the consequences in 2018 when a Democratic wave could very well sweep them out of power in Congress.Featured Image: Mark Wilson/Getty Images",0,Fake,1
"Reince Priebus Says We ARE Going Forward With Trump’s COMPLETELY Asinine Terrorism Plan On CNN s State of the Union yesterday, Reince Priebus fielded a question about Gen. Michael Flynn s insistence that it s perfectly rational to fear Muslims. Poor Priebus tried to deflect and failed miserably: There are some people within that particular religion that we do fear. So what are we going to do about it? We re going to cause massive immigration delays and blow yet another hole in the deficit by going forward with the Muslim ban. Or rather, we re potentially going to piss off some allies by suspending all immigration from certain countries: We don t believe in religious tests and are not blanketly judging an entire religion, but, in fact, we will try to pinpoint the problems and temporarily suspend those areas from coming into the United States until a better vetting system is in place. And yet, they want to implement a values test, through which people can lie to their heart s content. Given the Trump train s Islamophobia, such a values test could actually look like a religious test.He s targeting both refugees and other immigrants from areas where there might be a problem with terrorism that could end up getting exported here, and will use both DHS and the Department of State to pinpoint these countries, and we ll develop our extreme vetting and all will be right with the world.As reported everywhere about five million times, we already have an extensive vetting system in place for refugees, whatever Trump, Priebus, and the rest of the fear-mongerers keep pushing.We likewise have a very lengthy, complex, and extensive vetting process in place for other immigrants. Most applicants need a U.S. sponsor a relative or potential employer as assurance that they aren t coming here to be a burden on our system. The whole process starts with a petition, and then goes to National Visa Center screening if the petition is approved.There are also in-depth interviews that take place, along with about a squillion forms that must be filled out and submitted to the NVC. When they finally come to the U.S., they generally have a packet about an inch thick which U.S. Customs and Border Protection evaluates before granting entry into the U.S. From there, immigrants get sent to Customs and Immigration Services for processing.Trump would add a values test to this already-lengthy and complex process. This is to ensure that no potential Muslim extremists could successfully immigrate here, and is actually not entirely without precedent here. However, our current law states that we will not apply values tests to potential immigrants.Other parts of the plan, including the rest of his extreme vetting, could actually strain State Department and DHS resources and cause major delays. How bad the whole thing will be depends heavily on what countries they plan to target, which could be limited to the Middle East, but could just as easily stretch into Europe and parts of Africa. Many of our immigrants come from Africa who knows who this will piss off?All of this could also become quite expensive, but it seems the deficit is suddenly not a major issue to the GOP. After all, we re supposed to get this yuuuuuuge influx of jobs, which means a yuuuuuge influx of tax dollars despite the tax cuts. This is so not going to work.Featured image by Alex Wong via Getty Images",0,Fake,6
"WATCH: Trevor Noah Takes White Grievance Queen Tomi Lahren To The Woodshed Don t compare Black Lives Matter to the KKK or Daily Show host Trevor Noah will rip you a new one. Just ask Tomi Lahren.White nationalist darling Tomi Lahren has frequently used her show on The Blaze to whine about and attack Black Lives Matter, going so far as to compare the organization to the KKK.Of course, unlike the KKK, Black Lives Matter protesters do not hide like cowards under sheets and they do not lynch people. They are also not racist like the KKK because Black Lives Matter is inclusive and works with law enforcement.It s true that some protesters go too far by rioting and looting, but most of the time they are unaffiliated with the group.So when Lahren appeared on the Daily Show for an interview with Trevor Noah on Wednesday night, the fireworks were sure to fly but Lahren was the one who got burned. For somebody who is not racist, you have to spend a lot of time saying I am not racist, Noah pointed out. Lahren responded by labeling Black Lives Matter as a group of cop killers who are violent and racist against white people just because of the actions of a few people who claimed to be with Black Lives Matter.Noah struck back by hitting Lahren with her own words. You re the same person who argued on your show that just because Donald Trump has supporters from the KKK doesn t mean he s in the KKK, he said.As Lahren tried to defend herself by trashing black people, the crowd repeatedly gasped in shock, including when Lahren said she doesn t see color. But she also claimed that a black man is 18.5 times more likely to shoot a police officer than a police officer is to shoot a black man. However, it should be pointed out that white people kill more police officers than black people do.Anyway, Noah quipped that Lahren must have trouble at traffic lights since she doesn t see color and went on to say that how we treat color is more important. Noah then took Lahren to the woodshed for calling Black Lives Matter the new KKK by pointing out that the KKK still exists and that it s incendiary to make such a claim knowing the acts of terrorism and murder the KKK has committed.Lahren then blindly compared Black Lives Matter to the KKK again by blaming protesters for looting and burning before asking, What did the KKK do? which shocked the audience and Noah. Did you say, What did the KKK do? Noah asked in disbelief. Wow. Lahren then embarrassed herself by ranting about San Francisco quarterback Colin Kaepernick s refusal to stand during the national anthem and suggested that she s being criticized for attacking him because she is white. So because I don t disagree with what he did, I should shut up? she asked Noah. Because I m white so I should shut up? I shouldn t be able to talk about black issues cause I m white? But again, Noah was able to humiliate Lahren with her own words. No one brought up whites at all I never said that. I don t see color. Here s the video via Vid Me.Tomi Lahren got her ass handed to her by Trveor Noah, so now we can expect her to whine about it on her show very soon because getting schooled by a black man who is also an immigrant must be hard for her fragile racist mind to accept.Featured Image: Screenshot",0,Fake,5
"Soledad O’Brien SLAMS Media For Supporting White Supremacy On Sunday, former CNN host Soledad O Brien appeared on CNN s Reliable Sources, where she claimed that CNN and the mainstream media in general, have helped Donald Trump normalize white supremacy through their coverage of his campaign. If you look at Hillary Clinton s speech where she basically pointed out that what Donald Trump has done actually quite well has normalized white supremacy. I think she made a very good argument, almost like a lawyer. Here are ways in which he has actually worked to normalize conversations that many people find hateful.I ve seen on-air, white supremacists being interviewed because they are Trump delegates, and they do a five-minute segment, the first minute or so talking about what they believe as white supremacists. So you have normalized that. O Brien continued to voice her objections to the type of coverage the press has given Trump over the course of his campaign run, saying: Donald Trump will say, Hillary Clinton, she s a bigot. And it s covered, the journalist part comes in, They trade barbs. He said she s a bigot and she points out that he might be appealing to racists. It only becomes he said, she said. When in actuality, the fact that Donald Trump said she s a bigot without the long laundry list of evidence, which if you looked at Hillary Clinton s speech, she actually did have a lot of really good factual evidence that we would all agree that are things that have happened and do exist. They are treated as if they are equal. O Brien is voicing critiques of the media that have come up recently regarding the way media organizations handle their bias towards objectivity. Similar criticisms of mainstream media companies have arisen in the past over a wide variety of issues most notably, when covering issues relating to climate change. For example, in an effort to appear objective, news and editorial shows will have a climate scientist come on their program as well as a climate change denier.It isn t at all fair to have a climate change denier be given airtime when they represent an incredibly small fraction of the population of experts. Especially when you take into consideration that their views are generally considered to be demonstrably false by all available scientific evidence.The same goes for Trump and those involved with his campaign. They represent an overall tiny segment of population keep in mind that less than 10% of the eligible U.S. population voted for any candidate in the presidential primary and they generally have put out views that are hateful and even bizarre.You can watch the video of the exchange below:Featured image via video screen capture",0,Fake,5
"Democratic senator tussles with U.S. Treasury secretary over communication WASHINGTON - The U.S. Senate Banking Committee’s top Democrat tussled with Treasury Secretary Steven Mnuchin during a hearing on Thursday over the flow of information from his agency, and later asked if President Donald Trump, a Republican, had ordered him to restrain communications with Democrats. “Are you aware of any White House guidance formal or informal urging administration officials not to respond to or to delay in responding to Democratic senators?” Senator Sherrod Brown, a liberal Democrat, asked Mnuchin toward the end of the hearing. “I am not,” Mnuchin answered. Brown said earlier in the hearing that he had written to Mnuchin on March 2 asking about “potential conflicts of interest and ownership in the administration,” but did not receive a response. He then pressed Mnuchin to send the committee “a complete list of Trump business associates and financial ties.” Mnuchin said that before the hearing he had checked that Treasury staff “had fully responded to all the inquiries from you and the committee” and asked Brown to send a note reminding him to deliver the list. While other senators began questioning Mnuchin, the two took the argument off-line, with Treasury emailing reporters a brief statement saying that it had responded to Brown’s letter on March 31. Brown’s office then circulated the response it had received, which generally discussed compliance with conflict of interest laws and lacked any details. Brown’s office said Treasury’s brief letter had not answered his questions. The senator also did not seem reassured that Treasury was not dragging its feet in communicating with Democrats. After he asked about possible guidance from the White House, Brown pressed: “Will you commit to responding to...members of both parties of this committee in a timely manner to all requests for information?” “I will,” Mnuchin responded. A Treasury spokesman did not replay to questions about any formal or informal White House orders on communication.",1,Real,8
"Yet Another Asshole Just Rammed A Bunch Of Protesters With His Car Yet another horrible human being decided to ram his car through a crowd of protesters in California on Thursday.Daniel Wenzyk, who was convicted of committing lewd acts against a child under the age of 14 in 2006, apparently got impatient as protesters rallied for immigrants rights and did what we can normally expect from horrible human beings: he tried to run a bunch of people down with his car. I think he was trying to get through the crowd, Lt. Adam Hawley said of the incident, dismissing concerns that the numerous protesters who were injured were victims of what appears to be a deliberate and hateful crime. We don t have any indication he was trying to harm somebody, Hawley says. Video of the incident shows Wenzyk deliberately plowing his car through people, which brings Hawley s account heavily into question,In total, six protesters were taken to a hospital for evaluation after the attack. Fortunately, no one sustained serious injuries.Despite Hawley s assertion that the child molester was not trying to hurt anyone, Wenzyk was arrested for assault with a deadly weapon. He was later released pending the results of the investigation.Watch the attack below and decide for yourself if it was deliberate:Man arrested and released after driving through immigration protest in California. No one was seriously hurt. Story: pic.twitter.com/jibpKdMSlG AP West Region October 27, 2017Featured image via screengrab",0,Fake,5
"Megyn Kelly Unveils DAMNING Truth Bomb About Trump’s Amazingly Hypocritical Campaign Performance Prior to the election, one of the things that Trump kept harping on was how the DNC gave Hillary debate questions in advance. He claimed to have solid evidence of that, and so did conspiracy sites that purported to be able to see what Hillary was staring at on her podium for one of the debates. It seems, though, that Trump s gripe was less-than legitimate even more so than most of his gripes throughout the campaign.This kind of thing is only a problem if it could hurt him. When it benefits him, everyone should have at. But we knew that. What many probably didn t know is that the accusations he insisted on lobbing during the final stretch up to the disastrous Nov. 8 election were incredibly, amazingly, astonishingly, astoundingly hypocritical.Megyn Kelly s new book, Settle For More, details out a lot of what Trump did to her during the primaries. But that s not all. The New York Times review of her book says: The day before the first presidential debate, Mr. Trump was in a lather again, Ms. Kelly writes. He called Fox executives, saying he d heard that her first question was a very pointed question directed at him. This disconcerted her, because it was true: It was about his history of using disparaging language about women. The day before. Now how did he know what Kelly was going to ask, we wonder? Could it be that someone at Fox leaked the debate questions to him? There s no other way for him to know that.Throughout the last 17 months, the accusations Trump leveled at his enemies were things he himself was guilty of. Following the third general election debate, he was adamant about exposing alleged treachery on the part of the DNC and Hillary. His claim was that she d gotten the debate questions in advance, while he was kept in the dark. We have to ask Trump, Project, much? Then again, projection is what he does.But that s not all Settle For More also contains this tidbit: On the day of the debate, Ms. Kelly writes, she woke up feeling great. Then an overzealous, suspiciously enthusiastic driver picked her up to take her to the convention center. He insisted on getting her coffee, though she d repeatedly declined his offer. Once it was in her hand, she drank it. And within 15 minutes, she was violently ill, vomiting so uncontrollably that it was unclear if she d be able to go on and help moderate that evening. It was so bad that she kept a trash pail beneath her desk throughout the debate, just in case. Was Trump trying to poison her in advance of the debate? She doesn t say, and The New York Times wisely leaves that up to the reader to determine. Regardless, it s suspicious and entirely typical of a man like Trump he will stop at nothing to get revenge on his enemies. And the Electoral College will put this man in the White House.Photo of Megyn Kelly by Neilson Barnard via Getty Images for Hollywood Reporter. Photo of Trump by Zach Gibson via Getty Images",0,Fake,2
"WATCH: Racist Fox News Goon Gets PUNKED By Comedian On The Streets When Fox News goon Jesse Watters went to Chinatown in New York to put together an incredibly racist segment filled with Asian stereotypes, it caused national outrage.Now Watters is getting a taste of his own medicine thanks to comedian Jason Selvig.During Watter s racist report, he talked to residents who didn t speak much English, asked them if they know karate and if they can take care of North Korea for us. Fox News, Bill O Reilly, and Watters disrespected and insulted the Asian-American community that day, and they have still not issued an apology despite Asian-American organizations raining hell on them with statement after statement condemning the segment.So Selvig treated Watters the same way.Selvig approached Watters on the street and gave him a hug before saying hello to him using a racist Asian accent. Pretty good, right? Selvig asked Watters. It s racist like you like. A confused Watters then realizes what s going on and tries to run away like a coward. But Selvig continues mocking him by pitching future segments Watters should consider for his next man-on-the-streets bit. Just a bunch of black people eating fried chicken? Selvig suggests. How about just Mexicans eating tacos? Selvig then suggests a segment on gay people, but then remembers that Watters already did that and shows some footage of it. Oh just like, call all Muslims terrorists, Selvig continues before nixing the idea because I guess you guys already do. Selvig tells Watters that he ll leave him alone if he plugs his movie Undecided. When Watters avoids doing so, Selvig takes matters into his own hands and declares that it s endorsed by Fox News.Here s the video via Facebook:Jesse Watters and Fox News should think twice before doing such a segment ever again. In fact, they should just not do these kinds of segments at all. But if they do, perhaps comedians from all over can approach Watters on the streets and mock him. It s called karma, and Watters just got a taste of it.Featured Image: Screenshot",0,Fake,5
"WATCH: Trump’s Infantile Reference To His D*ck Size REALLY Shows Great Strength, Says Fox News Fox News resident doctor, if, indeed, he can be called that, weighed in on the ancient, but immature reference that Trump made to the size of his penis after Marco Rubio made a crack about his tiny hands during a debate in Detroit, Michigan. Keith Ablow, who really has some questionable things to say on the air, let loose with the following verbal rubbish heap: When the small hands issue was raised during the debate that supposedly got the Clinton campaign very excited, they thought Man, he s off his game he wasn t off his game at all. Freud would have been standing up, like applauding. Standing ovation. Ablow the Blowhard went on with: To be able to address such an intensely personal issue and say, Listen, there s no problem in that department, to me, that showed an incredible degree of psychological strength. Or it showed an incredible immaturity something that s only been solidified as this election cycle has gone on. Trump could have, and really should have, just ignored the jab about his hands. Instead, he said: Look at those hands. Are they small hands? And he referred to my hands if they are small, something else must be small.I guarantee you there is no problem. I guarantee you. Because self defense. He missed a golden opportunity to make Rubio look like an immature, tasteless idiot. As is so common with Trump, though, he slipped into insecure teenage-boy mode and bragged about his penis size, which is literally relevant to nothing. He proved he had even less class than Rubio when he did that.Watch Ablow s psychological gobbledy-gook below:Featured image by Chip Somodevilla/Getty Images",0,Fake,5
"Paul Ryan sees common ground with Trump budget plan WASHINGTON - The U.S. House of Representatives Republican leaders on Tuesday praised President Donald Trump’s proposed federal spending budget and said lawmakers would be able to find common ground with the administration’s plan. “At least we now have common objectives: grow the economy, balance the budget. So at least we are now on that common ground, and we will have a great debate about the details about how to achieve those goals,” U.S. House Speaker Paul Ryan said at a news conference.",1,Real,1
