cleaned_text,label_numeric,label
"NATO Ambassador Just SHAMED Trump – Had To Educate Him On How NATO Works Donald Trump just got his ass handed to him by a former NATO Ambassador for claiming that Germany owes the organization money.On Saturday, Trump attacked Germany by accusing them of shortchanging NATO and owing money to the United States for defense.Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes .. Donald J. Trump March 18, 2017 vast sums of money to NATO & the United States must be paid more for the powerful, and very expensive, defense it provides to Germany! Donald J. Trump March 18, 2017Once again, Trump demonstrated that he has no clue how NATO works and totally embarrassed himself by attacking an ally.Not only did German Defense Minister Ursula von der Leyen shoot down Trump s claims by pointing out that Germany has no debt account at NATO, a former American NATO Ambassador stepped up and thoroughly humiliated Trump by educating him on how NATO works in a series of tweets.1/ Sorry, Mr. President, that s not how NATO works. The US decides for itself how much it contributes to defending NATO. pic.twitter.com/8svkzRBEQb Ivo Daalder March 18, 20172/ This is not a financial transaction, where NATO countries pay the US to defend them. It is part of our treaty commitment. Ivo Daalder March 18, 20173/ All NATO countries, including Germany, have committed to spend 2% of GDP on defense by 2024. So far 5 of 28 NATO countries do. Ivo Daalder March 18, 20174/ Those who currently don t spend 2% of their GDP on defense are now increasing their defense budgets. That s a good thing. Ivo Daalder March 18, 20175/ But no funds will be paid to the US. They are meant to increase NATO s overall defense capabilities, given the growing Russian threat. Ivo Daalder March 18, 20176/ Europe must spend more on defense, but not as favor to the US. But because their security requires it. Ivo Daalder March 18, 20177/ US does provide large military commitment to NATO. But this is not a favor to Europe. It is vital for our own security. Ivo Daalder March 18, 20178/ We fought two world wars in Europe, and one cold war. Keeping Europe whole, free, and at peace, is vital US interest. Ivo Daalder March 18, 20179/ A strong, united NATO, in which all contribute their fair share to defense, will secure that peace for all Alliance members. Ivo Daalder March 18, 2017As Ivo Daalder just explained, the commitment to NATO spending is a long-term plan that will occur by 2024. The deadline is fixed and Trump cannot force other nations to pay what he wants them to pay.Also, the United States does not run NATO. It s a defense pact between our nation and the nations of Europe designed for mutual defense and cooperation against threats to Europe and North America. But Trump seems to think that it s an American operated security business or something.Trump is the most inept president in our history and he continues to prove it every time he opens his big mouth.Featured image via Mario Tama/Getty Images",0,Fake
"WATCH: Violent Trump Fan Shoves Peaceful Protester Down Stairs From Behind Like A Coward The violence and hate we witnessed at Trump rallies is now spilling over into the rest of society. Since the billionaire racist misogynist internet troll was elected to lead the free world, there have been literally hundreds of hate crimes and his supporters have proved completely unwilling to behave themselves even in their victory.At an anti-Trump protest in Ohio on Monday, we received a reminder of the violent nature of the animals known as Trump voters. As Tim Joseph was delivering his message into a bullhorn at the Ohio Union at OSU in Columbus, one Trump voter voiced his displeasure with the current direction of the country by shoving the protester down some stairs from behind like a coward, of course. You idiot, the disenfranchised white man screeched as he went all WWE on Joseph.One man wearing a Guy Fawkes mask began to beat the living hell out of the attacker, whose identity has not yet been released. Instead of joining in like we saw at Trump rallies throughout the election year, other protesters calmed the man down and the crowd detained him peacefully until police arrived. According to Undergraduate Student Government president Gerard Basalla the attacker, a student, was arrested and placed under indefinite suspension. The assault that occurred that s what it was in the Union tonight is completely unacceptable, Basalla told The Lantern. Every person on this campus has the right to feel safe and voice their opinion without fearing harm. We can t be having this. We protect First Amendment rights actively, but we do not under any circumstances tolerate intimidation or threats to students, faculty, staff or visitors to our campus, University President Michael Drake said in an email to students following the attack.Watch the assault below:",0,Fake
"WATCH: CNN Panelist HUMILIATES ‘Snowflake’ Trump For Cowardly Backing Out Of Correspondent’s Dinner Donald Trump is so thin-skinned that he would rather sit in the White House and pout instead of attending the White House Correspondent s Dinner.It is a tradition for the president to attend the annual White House Correspondent s Dinner. It s a chance to spend time with reporters and journalists and enjoy the entertainment of a comedian. Stephen Colbert, Craig Ferguson, Jon Stewart, and Jay Leno are just a few of the big-name comedians who have headlined the event. And presidents get the opportunity to let off some steam by delivering jokes. President Obama was particularly skilled at self-deprecating humor while also making jokes about his critics.For example, President Obama once seriously burned Donald Trump with a joke in 2011 in reference to Trump s birtherism. Now, I know that he s taken some flak lately, but no one is happier, no one is prouder to put this birth certificate matter to rest than The Donald, Obama said. And that s because he can finally get back to focusing on the issues that matter like, did we fake the moon landing? What really happened in Roswell? And where are Biggie and Tupac? President Obama then joked about Trump s leadership on Celebrity Apprentice for firing Gary Busey after a cooking contest. These are the kind of decisions that would keep me up at night. Well handled, sir. Well handled, Obama said. Meanwhile, Obama had just ordered the raid that killed Osama Bin Laden, which makes his appearance at the Dinner even more impressive.But Trump has decided to be a big baby and is now the first president to ever skip the event. Ronald Reagan did not attend in 1981, but he had a good excuse since he had just been shot. But he still managed to deliver some remarks via phone.I will not be attending the White House Correspondents Association Dinner this year. Please wish everyone well and have a great evening! Donald J. Trump February 25, 2017During a discussion on CNN on Saturday, New York Times TV critic Bill Carter took Trump to the woodshed for cowardly refusing to attend. Republicans always criticize the media, Carter said. This has reached a point where it s over the top, actually. Any story that s critical of him now becomes fake. Indeed, Trump has declared war on the media because they refuse to be his cheerleading squad. And I think the fact that he s bowing out of this dinner, it has a little bit of the quality of You can t fire me, I quit. because a lot of people are dropping out of this dinner, Carter continued.And it s true. Trump s attacks on the media have caused many news outlets to cancel parties and refuse to go to the dinner. Now that Trump isn t going, perhaps these outlets will now reverse their decision.But Carter wasn t done yet. Carter said that Trump knows he isn t going to get a good reception from the crowd at this event, particularly in light of his claim that the media is the enemy of the American people. In other words, Trump is literally running away because he doesn t want to be criticized. He likes to have paid applauders, he quipped. The whole thing would have been fraught for him. And I know there s been a lot of criticism of Democrats for being snowflakes, but it s sort of snowflake-y to me, to back out of this. Here s the video via YouTube.Donald Trump knows that he won t be a very welcome guest at the dinner event, but that doesn t mean he should tuck his tail between his legs and run away. If ever there was a chance for a mea culpa with the media, this is it. Trump could apologize to the media for his unfair and un-American attacks on them and try to build a better relationship with them. But he won t because he is a petulant child who would rather throw a temper tantrum instead of doing something that makes him look like a grown-up.Featured image via Mark Wilson/Getty Images",0,Fake
"Republican Senator Paul threatens 'no' vote on budget plan WASHINGTON - Republican Senator Rand Paul on Tuesday threatened to vote ‘no’ on a budget resolution Republican leaders aim to bring up for a vote this week unless they decide to stick with spending caps, potentially putting the party’s tax cut plans at risk. “I have told the White House and leaders that if they simply stick to their own caps, the rest of the budget is fine and I’ll vote yes,” Paul wrote on Twitter. “It is a simple, but important, change they could easily make. The ball is in their court.” Republican leaders can afford to lose only two Republican votes on the budget plan, which would pave the way for large-scale tax cuts, if Democrats remain united in opposition. With Senator Thad Cochran out of town for health reasons, a defection by Paul would leave the vote on a razor’s edge.",1,Real
"Senator Gillibrand calls Trump Twitter post 'sexist smear' WASHINGTON - U.S. Senator Kirsten Gillibrand fired back at President Donald Trump on Tuesday and said she would not be silenced after he attacked her on Twitter for calling for an investigation into accusations of sexual harassment and misconduct against him. Six U.S. senators, including Gillibrand, have said Trump should resign. Trump lambasted Gillibrand on Twitter on Tuesday writing, “Lightweight Senator Kirsten Gillibrand, a total flunky for Chuck Schumer and someone who would come to my office ‘begging’ for campaign contributions not so long ago , is now in the ring fighting against Trump.” Schumer is the Senate Democratic leader. Gillibrand, whose name has been floated as a possible Democratic presidential candidate in 2020, said she would not back down. “It was a sexist smear attempting to silence my voice, and I will not be silenced on this issue,” she told reporters at a news conference. Trump did not answer a reporter’s question at a White House event later on Tuesday when asked what he meant by the tweet. White House spokeswoman Sarah Sanders, told that some people thought Trump’s tweet contained sexual innuendo, said, “Only if your mind is in the gutter would you have read it that way ... it’s obviously talking about political partisan games that people often play and the broken system.” Sanders told a regular White House briefing that Trump had used similar language previously to refer to men of both major parties. Other Democratic lawmakers rallied behind Gillibrand, including U.S. Senator Elizabeth Warren, another possible 2020 presidential candidate. In a tweet directed at Trump, Warren wrote on Tuesday, “Are you really trying to bully, intimidate and slut-shame @SenGillibrand? Do you know who you’re picking a fight with? Good luck with that, @realDonaldTrump. Nevertheless, #shepersisted.” U.S. Senate Democratic Leader Chuck Schumer said Trump’s attack on Gillibrand was “nasty, unbecoming of a president,” but he did not join her call for Trump to resign the presidency over sexual misconduct accusations. More than a dozen women have accused Trump, a New York-based real estate developer and former reality television star, of making unwanted sexual advances against them years before he entered politics. Trump, a Republican, has denied the allegations. Reuters has not independently verified the accusations against Trump. Interest in accusations of sexual harassment and misconduct came to the fore again on Monday when three women who had previously accused Trump of misconduct called on the U.S. Congress to investigate his behavior. On Tuesday, a fourth woman who had also previously made similar accusations backed their call for an investigation during an interview with NBC. Nearly 60 female Democratic U.S. lawmakers called for an investigation in a letter on Monday. By Tuesday, the group said many male colleagues had also joined on, bringing the number to more than 100 lawmakers in the U.S. House of Representatives. Representative Trey Gowdy, Republican chairman of the House Oversight Committee, responded to the group in a letter on Tuesday that said, “The specific allegations set forth in your letter constitute crimes,” both federal and state. Gowdy noted that congressional panels cannot prosecute crimes so he was forwarding the group’s letter to the Justice Department. He added that any charges not alleging crimes should go to the House Judiciary Committee, which has jurisdiction over “allegations related to fitness for office and non-criminal matters.” Trump has called the accusations fabricated stories and he has said he did not know his accusers. On Monday, Gillibrand called the allegations credible and called on Trump to resign over them. The attention to sexual harassment accusations against Trump comes amid a wave of similar accusations against prominent men in Hollywood, the media and politics in recent months. Federal Election Commission records showed Trump gave $4,800 to Gillibrand’s Senate campaign in 2010, and that he donated $2,100 to her in 2007 while she was a member of the House of Representatives. Concerns over sexual impropriety have become a political issue the United States, leading to the resignations of two Democratic and one Republican lawmaker. Reuters has not independently verified accusations against them. The issue of sexual harassment has also become central to Tuesday’s U.S. Senate election in Alabama after accusations of misconduct were made against Republican candidate Roy Moore. The White House said on Monday that the women’s accusations against Trump were false and “totally disputed in most cases by eyewitness accounts” and later promised to provide a list of those accounts to reporters. On Tuesday, the White house sent a list of three 2016 media reports, including a New York Post interview with a British man who disputed one of the accusers’ accounts of alleged groping and said he never saw it happen. It also included New York Daily News and CNN reports with two other former pageant participants supporting Trump.",1,Real
"U.S. anti-missile system 'should be decision for next South Korean government' SEOUL - The spokesman for the front runner in South Korea’s upcoming presidential election said on Friday that the deployment of the U.S. THAAD anti-missile defense system should be “immediately suspended” and await a decision by the next government. “As stressed again, the issue of THAAD deployment should be handed over to the next government,” Youn Kwan-suk, a spokesman for Moon Jae-in, said in a statement responding to U.S. President Donald Trump’s remarks during an interview with Reuters that South Korea should pay for the system.",1,Real
"Trump wants to work with Schumer, Pelosi on tax reform: White House WASHINGTON - U.S. President Donald Trump will host Senate Democratic leader Chuck Schumer and House of Representatives’ top Democrat Nancy Pelosi on Wednesday night to discuss tax reform and other items on the legislative agenda, the White House said. The president will meet the two top Democrats “for bipartisan discussions on the upcoming legislative agenda, with a focus on tax reform,” White House spokeswoman Sarah Sanders said.",1,Real
"Newt Gingrich Says Federal Workers Who Voted For Hillary Clinton Will Be Fired Newt Gingrich, the former Speaker of the House who resigned in shame and turned into Trump s biggest cheerleader, has a new litmus test to determine if a federal worker keeps their job: did they vote for Donald Trump or Hillary Clinton?While discussing the Trump Administration s budget in which $10.5 trillion will be cut fro, various government programs Gingrich told the Heritage Foundation that in order to balance the relationship between Trump and the bureaucracy, federal workers who voted for or supported Clinton would be fired: All those bureaucrats overwhelmingly voted for Clinton. There won t be any real cooperation until we change federal law so we can fire them. The budget, which is modeled after the Heritage Foundation s, is seeking to nearly cut all discretionary spending to every federal bureaucracy, which includes federal agency budget cuts by 10 percent and employee cuts by 20 percent. Coincidentally, 20 percent of the federal workforce is black, and almost 90 percent of blacks voted for Clinton.But, again, I m sure it s just a coincidence The dog whistle is becoming louder and louder. The fact that this revelation isn t making widespread headlines is a failure of mainstream journalism. A former powerful politician with close ties to the current Administration is advocating for the firing of people with different political affiliations.This is a political witch hunt that mirrors the dark days of McCarthyism. Because someone doesn t subscribe to the racist, sexist, xenophobic and authoritarian regime that is the Trump presidency they risk losing their job doing low level, non-political jobs.Whatever happened to the Republican mantra that people be judged based on their ethics and results? In Trump s America, it s all about blind patriotism and racism.Blind ideology, suppression of facts and science, and now vendettas. The GOP has become a vehicle for a fascist authoritarian regime, and Trump is leading the movement.Remember when the GOP was outraged that the IRS was targeting conservative groups for their political affiliations? Why aren t Democrats more outraged over this rank hypocrisy?The resistance starts with resisting everyone in Trump s camp, not just Trump himself.Featured image via Flickr",0,Fake
"Trump administration moves to keep full CIA 'torture' report secret WASHINGTON - U.S. President Donald Trump’s administration has begun returning to Congress copies of a voluminous 2014 report describing the CIA’s harsh detention and interrogation programs, U.S. officials said on Friday. The Trump administration’s move means it could be more difficult for the full, 6,700-page report to be made public, because documents held by Congress are exempt from laws requiring government records to eventually be made public. The White House made the move in response to requests by Sen. Richard Burr, the Senate Intelligence Committee’s current Republican chairman, officials said. In a statement emailed to Reuters, Burr said: “I have directed my staff to retrieve copies of the Congressional study that remain with the Executive Branch agencies and, as the Committee does with all classified and compartmented information, will enact the necessary measures to protect the sensitive sources and methods contained within the report.” Sen. Dianne Feinstein, the Democrat who chaired the committee when the report was produced, had asked that it be distributed to multiple executive branch agencies, a move designed to make it eventually releasable to the public under the Freedom of Information Act law. Feinstein said in a statement that she was “concerned and disappointed” that Burr requested that the document be returned, calling it a departure from the committee’s normal bipartisan nature. “No senator, chairman or not, has the authority to erase history. I believe that is the intent of the chairman in this case,” she said. Sen Mark Warner, who succeeded Feinstein as the committee’s top Democrat, said in a Twitter post he was “disappointed” with Burr’s decision, and that the report “must be preserved so we can learn from past mistakes & ensure that abuses are never repeated.” A declassified executive summary of the report was made public in December 2014. It concluded that the CIA’s interrogation programs, using techniques such as waterboarding that most observers consider torture, were more brutal and less effective than the CIA had told policymakers. The report said that not a single terrorist attack was foiled as a result of the use of harsh interrogation techniques. The American Civil Liberties Union had filed litigation to have the full report released. But U.S. courts ruled that because the document was created by Congress, it was exempt from the Freedom of Information Act. At least one copy of the report, however, will not be returned to the committee. That’s because a copy has been preserved in former President Barack Obama’s presidential archive, according to a Dec. 9, 2016 letter written to Feinstein by Obama’s top White House lawyer at the time, W. Neil Eggleston. The CIA declined to comment. Burr’s move was first reported by the New York Times.",1,Real
"Q&A: What we know about U.S. probes of Russian meddling in 2016 election - Former FBI Director James Comey will testify to the U.S. Senate Intelligence Committee on Thursday about Russian involvement in the 2016 presidential election. President Donald Trump’s abrupt firing of Comey on May 9 renewed attention to allegations by U.S. intelligence agencies that Russia interfered in the election to benefit Trump. It also raised questions about the motivations behind Comey’s dismissal. The following describes what is publicly known and not known about U.S. investigations into meddling and possible collusion between Russia and members of the Trump campaign: How did the investigations begin? Former President Barack Obama ordered U.S. intelligence agencies to assess whether Russia tried to intervene in the election after a cyber attack on the Democratic National Committee in July 2016 and the publication of thousands of hacked personal emails from Hillary Clinton’s campaign manager in the month before the Nov. 8 election. Obama told intelligence officials to deliver a report on possible foreign interference before he left the White House in January 2017. What did the intelligence agencies find? The Central Intelligence Agency, the Federal Bureau of Investigation and the National Security Agency concluded in a report declassified in January that Russian President Vladimir Putin ordered a campaign not just to undermine confidence in the U.S. electoral system but to affect the outcome. The agencies said Putin and the Russian government had a “clear preference” for Trump to win the White House. Putin’s associates hacked information, paid social media “trolls” and backed efforts by Russian government agencies and state-funded media to sway public opinion, the agencies said. The report stopped short of assessing whether Russia succeeded in swaying the election result. Putin and other Russian officials have repeatedly denied interfering in the U.S. election. How many U.S. probes are there into Russia’s election meddling? Comey told the House Intelligence Committee on March 20 that the FBI was investigating Moscow’s role in the election, including possible collusion with Trump’s campaign. The Justice Department announced on May 17 that it has appointed Robert Mueller, a former FBI director, as special counsel to lead an independent Russia probe. Mueller would, if the evidence merits, work in tandem with the FBI to handle any related criminal prosecutions. In addition there are multiple committees in the Senate and House of Representatives investigating various aspects of Russian election meddling. What has Trump said about Russia’s role in the election? Trump has not taken a clear public position. “I will tell you this, Russia: if you’re listening, I hope you’re able to find the 30,000 emails that are missing,” Trump said at a July 2016 news conference, in reference to an FBI probe into Clinton’s use of a private email system when she was secretary of state and emails that had possibly been deleted. Trump subsequently dismissed reports, including from U.S. intelligence officials, that Russia had attempted to intervene in the election on his behalf. The first time Trump said he accepted the findings of the intelligence agencies was at a Jan. 11 news conference ahead of his inauguration. “As far as hacking, I think it was Russia,” Trump said, although he added: “It could have been others also.” Trump said in May that China may have hacked the emails of Democratic officials to meddle with the election, offering no evidence and countering the view of intelligence officials. Trump has made clear on multiple occasions he believes the Russia investigations have run their course and should be closed. “The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?” he wrote on Twitter on May 8. On May 30, Trump wrote on Twitter: “Russian officials must be laughing at the U.S. & how a lame excuse for why the Dems lost the election has taken over the Fake News.” Did the FBI probe continue after Comey’s dismissal? There is no evidence that the FBI ended or paused its investigation after Comey’s departure. FBI acting Director Andrew McCabe, who is leading the agency, promised the Senate Intelligence Committee that Comey’s firing would not affect the investigation and that he will notify the committee of any attempt to delay or derail it. Trump on June 6 tapped former U.S. Justice Department official Christopher Wray, who represented New Jersey Governor Chris Christie in the so-called Bridgegate scandal, to be the next FBI director. Wray will need Senate confirmation. Why was Comey fired? The White House cited a May 9 letter to Trump from Attorney General Sessions that attached a memo from Rod Rosenstein, the deputy attorney general, on “Restoring Confidence in the FBI” that recommended Comey’s dismissal. Rosenstein’s memo said Comey erred in July 2016 by announcing the FBI had been examining Clinton’s use of a private email server and that the case should be closed without prosecution. Rosenstein’s view was that Comey’s decision to make a public statement broke with longstanding FBI precedent and should have been handled by the then-U.S. attorney general, Loretta Lynch. Trump called Comey a “showboat” and “grandstander” in an interview with NBC News on May 11, saying that he would have fired Comey regardless of Rosenstein’s recommendation. In an unorthodox move, Great America Alliance, an offshoot of a pro-Trump super PAC devoted to promoting the White House agenda, developed a television ad called “Showboat” to air as Comey testifies. The ad claims Comey was “consumed with election meddling” at the expense of fighting terrorism. Was Comey’s firing related to the FBI’s Russia probe? Whether Comey believes his firing was linked to the FBI’s Russia probe will likely be a main focus when he testifies on Thursday. Trump asked Comey to end the agency’s investigation of Michael Flynn, his former national security adviser, and also to make some sort of public statement that he was not personally under investigation in order to clear “the cloud” hanging over his presidency, according to Comey’s prepared testimony. Comey found it “very concerning” that Trump would ask him to drop the agency’s probe of Flynn and declined to state publicly that Trump himself was not under investigation, in part because it would create a “duty to correct” if that changed, according to the testimony. “I need loyalty, I expect loyalty,” Trump told Comey at a January 27 dinner, according to the testimony. Less than a week before he was fired, Comey told a congressional panel that it made him “mildly nauseous” that he may have affected the outcome of the election by publicly re-opening, and then re-closing, the Clinton email probe days before the election. Has there been any fallout for Trump associates over contacts with Russia before, during or after the election campaign? Flynn was fired in February. The White House said he had misled Vice President Mike Pence about the contacts he had with Russia’s ambassador to the United States, Sergei Kislyak, before Trump took office. On May 9, federal prosecutors issued grand jury subpoenas seeking business records from people who worked with Flynn when he was a private citizen. On May 10, the Senate Intelligence Committee issued the first subpoena in its Russia investigation, demanding documents from Flynn. He provided the first batch on June 6. Sessions had to recuse himself from involvement in Russia-related probes at the Justice Department because he had not told Congress of his own contacts with Kislyak in 2016. Rosenstein is handling matters related to Russia and it is he who appointed Mueller as special counsel. Is Trump himself under investigation? In the short letter Trump sent to Comey dismissing him from the FBI, he thanked Comey for informing him on three separate occasions that he was not under investigation. Comey confirmed in his written testimony that he told Trump that he was not personally under investigation.",1,Real
